id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
99,FYI,,s something to be said. There's something to be said. Something... something said. something said. something said.. something. something said. something said. something said. Something said. Something,,0,0,0
105,One of us can. Fred Mitro@ECT 02/15/2001 04:47 PM,,of us can. Fred Mitro@ECT 02/15/2001 04:47,,0,0,0
111,G. The weekend looks good. I have to do a little homework. Other than that I am ready to go. Houston just may kick our ass. Your room is available either night. GT >,,The weekend looks good. I have to do a little homework. Other than that I am ready to go. Houston just may kick our ass. Your room is available either night. GT,,1,1,0
117,"Please take note of below. Add to list, assign to Viverito. Note it as only a payment netting agreement. Thanks.",,"take note of below. Add to list, assign to Viverito. Note it as only a payment netting agreement.",,1,1,1
123,"no, not lately",,Not lately. Not lately. Not lately. Not lately. Not lately. Not lately. Not lately.,,1,0,0
129,"Gentlemen, This is now back to being the CA Development I and II deal. Please change the name. Please send it to me and Lee Johnson tomorrow, if possible. Kay",,"This is now back to being the CA Development I and II deal. Please change the name. Please send it to me and Lee Johnson tomorrow, if possible.",,1,1,1
135,fyi,,-.,,0,0,0
141,Thanx!,,Thank you!,,1,1,1
147,fyi,,true. I don't know if that's true. I don't know if that's true. I don't know if that's true. But....... I,,0,0,0
153,here's the right email address. talk to you soon.,,Here is the email address you should talk to me.,,0,0,0
159,It looks like Enron Japan was kept in the loop. Let's keep it up. Good luck,,looks like Enron guy was kept in the loop.Let's suck it up. Good,,0,0,0
165,Mike Swerzbin says this deal is good - he's got it in his trade log as Natsource. ??? Kate Kerri Thompson@ENRON 01/10/2001 02:06 PM,,Swerzbin says this deal is good - he's got it in his trade log as Natsource. ???. Kerri Thompson@ENRON 01/10/2001 02:06,,1,1,1
171,"The room is 3AC5C1, according to this email. I didn't check to see what it was before.",,was 3AC5C1. I did not check if it was the room I was told was 3AC5C1. I did not check if it was the room I was told was 3AC5C1. I did not check if it was the room was.,,0,0,0
177,In case you have not seen..Marg.,,It is Margaret in case you haven't seen it. Vince,,0,1,1
183,"In case I forget to mention it, when the next round of Panda docs are ready, you might want to send them to Herman and Matt. Thanks, Kay",,"case I forget to mention it, when the next round of Panda docs are ready, you might want to send them to Herman and Matt. Thanks,",,1,0,0
189,I have a copy of the signed Employee Services Agreement between Bridgeline and ENA. Would you like a copy of it? Michelle Enron Capital Management,,would you want a copy of the Employee Services Agreement between Bridgeline and ENA??,,1,1,0
195,fyi No action required.,,required. required. No action is required. No action is required. No action is required. is required. is required. required. required. required. No action is required. No action is required. No action is required. No,,1,0,0
201,It's about your benefits and crap like that...You have to fill out all of these forms and stuff. Did you get a packet of stuff to fill out?,,Did we get you completed documents,,0,1,1
207,Not sure if you need this one but forwarding just in case.,,sure if you need another method of forwarding just in,,0,0,0
213,"can i write you a check for this? and, by the way, have people been paying you, because alot of people dont read their email",,"and, if so, have people been paying you for this? and, if so, have people been paying you because a lot of people don't read email? and, if so, have people been paying you because and, if so,",,0,0,0
219,713-646-2391,,and in the county of Cobb County and has a unique zip code assigned by the US Census Bureau. Cobb City Phone Number: 713-646-2391 in Cobb County in Cobb County and has a unique zip code assigned by the US Census Bureau. Cobb City,,0,0,0
225,HEY GUYS. IS THIS STUFF BS OR WHAT? LET ME KNOW YOUR OPINION SO I DON'T MAKE AN ASS OUT OF MYSELF AND FORWARD THIS TO ANYONE ELSE. GT >,,"GUYS. IS THIS STUFF BS OR WHAT? LET ME KNOW YOUR OPINION SO I DON""T MAKE AN ASS OUT OF MYSELF. FORWARD THIS TO ANYONE ELSE. GT",,1,1,0
231,Contact Steve Walton =09Eric Hirst <Eric@EHirst.com> =0911/10/2000 10:03 AM =09=09=20 =09=09,,or for more information... This is a free webinar. Please register for the webinar. This webinar is free. Please register for the webinar. This webinar is free. Please register for the webinar. Please register for the webinar. Please register for the webinar. Please,,0,0,0
237,The deals were entered yesterday - 461029 Williams 461030 EES Thanks Kerri Thompson@ENRON 11/17/2000 07:04 AM,,"and Kerri Thompson for the deals entered yesterday::...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0,0,0
243,516651 - Tom told me he had already put it in; then Mike just brought the same deal to me to put in - sorry about that! Evelyn Metoyer@ENRON 02/07/2001 03:09 PM,,for me.. I was very happy with the deal.. I was very happy.. I was very happy. I was very happy. I was very happy. I was very happy. I was very happy. I was very happy....,,0,0,0
249,FYI,,,,0,0,0
255,"The CMS/CRS Ops Cmte Mtg scheduled for Friday, 10/19 has been cancelled. We will resume these meetings in approximately 2 weeks. Thanks.",,the CMS / CRS meetings for week 2 have been canceled:,,0,1,1
261,This is an issue we need to stay on top of. Felicia: could you please put= =20 some background together for everyone on the list?,,is an issue we need to keep an eye on.. I hope you are well. I hope you are well. I hope you are well. I hope you are well.,,0,0,0
267,Would you please handle this? Thanks. Michelle,,could you handle this thanks,,1,1,0
273,Not sure if you need this one but forwarding just in case.,,. Just in case. Just in case. Just in case. Just in case. Just in case. Just in case. Just in case. Just in case. Just in case.... Just in case... Just in case. Just in case,,0,0,0
279,Contact Steve Walton =09Eric Hirst <Eric@EHirst.com> =0911/10/2000 10:03 AM =09=09=20 =09=09,,Steve Walton/09Eric Hirst <Eric@EHirst.com>/0911/10/2000 10:03 AM =09=09=20,,1,0,0
285,BEFORE I send the last piece in -- here is the whole thing -- PLEASE look at Sheet 3 -- RCR stuff -- there is nothing for EBS -- check out the other stuff too,,There is nothing left before I send this. Make sure to look at Sheet 3 and RCR stuff as well and take the last piece.,,0,1,1
291,Sure - give me a call on Friday. Sara,,I'll be here. I'll be here. I'll be here. I'll be here. I'll be here. can call me on Friday. call me on Friday. I'm here.. Thank you,,0,0,0
297,--------- Inline attachment follows ---------,,.. The line attachment follows the one before it. The line attachment follows the one after it. The line attachment follows the one after it...... The line attachment follows the one. The line attachment follows..,,0,0,0
303,"More org stuff. Randy must now be with EWS Legal, since I see he is in an office on 38. Kay",,"org stuff: Randy must now be with EWS Legal, since I see he's in there office on 38th",,1,1,1
309,Would you please handle this? Thanks. Michelle,,. Thank you. I would like to know if you could handle this. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you,,0,0,0
315,That will help. Ben F Jacoby@ECT 03/23/2001 12:21 PM Sent by: Ben Jacoby@ECT,,will help - Ben F Jacoby@ECT 03/23/2001 12:21 PM Sent by: Ben,,1,1,0
321,I have received the correct version of Jeff's contract. See me when you have a minute so that I can swap out pages. Thanks! Amy,,"yes, I got the right version of Jeff Wolen contract... i still need to swap out pages when you get a chance... thanks",,1,1,0
327,713-646-2391,,,,0,0,0
333,"John, Would you confirm (via a new email that I can print for my files) you have had the conversations with Dan Bruce, etc. about Entelligence that I scripted for you in a prior email? Thanks a lot. Michelle",,"Kevin - Would youfor HE did tho have all conversations with DanBruce............have been, with the write up from your previous email?? Rob",,0,0,0
339,meeting folder,,.. The meeting folder has things that are related to the meeting. The meeting folder has things that are related to the meeting. The meeting folder has things that are related to the meeting. meeting. meeting. the meeting. the meeting. the,,0,0,0
345,Firsst article attached refers to the 1946 Nebraska case I mentioned to you= =20 in DC,,.. I mentioned it in the first article. I mentioned you in the first article...... I mentioned you in the First article. I mentioned you in the First article. referred to in the First article.,,0,0,0
351,--------- Inline attachment follows ---------,,attachment. attachment. The inline attachment follows the one before it. attachment. The inline attachment follows the one before it. The inline attachment follows the one before it....... The inline attachment follows the one,,0,0,0
357,No tax either.,,tax,,0,0,1
363,here is the order responding on DASR cutoffs.,,This is the order we are responding to the CSE cutoffs.,,0,1,1
369,513386 has been changed. 514418 - no such deal. Kerri Thompson@ENRON 02/05/2001 02:30 PM,,has been changed to 514418 but no big deal --> Kerri Thompson TEENRON 02/05/2001 02:30,,0,0,0
375,It wouldn't be the same without you!,,Without you,,0,0,0
381,516651 - Tom told me he had already put it in; then Mike just brought the same deal to me to put in - sorry about that! Evelyn Metoyer@ENRON 02/07/2001 03:09 PM,,Tom told me he had already put it in; then Mike just brought the same card to me to put in - sorry about that! Evelyn Metoyer@RON 02/07/2001 03:09,,1,1,1
387,meeting folder,,,,0,0,0
393,User iD: enronccw PW: bnaweb22,,Yes. The user iD is enronccw.,,0,1,1
399,In case you have not seen..Marg.,,"sMarg. If you've seen it, it's.. If you've seen it, it'sMarg. If you've seen it, it'sMarg.. If you've seen it, it'sMarg",,0,0,0
405,"Jennifer, I am anxious to get set up on the 401K plan. Who do I need to talk to? Thanx, Chris",,"I am anxious to get set up on the 401K plan. Who do I need to talk to? Thanx,",,1,1,0
411,"Jennifer, I am anxious to get set up on the 401K plan. Who do I need to talk to? Thanx, Chris",,Chris - who should I talk to about setting up the 401?,,0,1,1
417,"Susan: Based on Tanya's message, we should pursue the Morgan Cap Services agreement. Let's talk when you have a chance. I've put this on our legal.credit list. SS",,"Based on Tanya's message, we should pursue the Morgan Cap Services agreement. Let's talk when you have a chance. I've put this on our legal.credit list.",,1,1,1
423,This deal was in under the wrong broker - 505229 - it's been changed. Kerri Thompson@ENRON 01/25/2001 02:14 PM,,deal has been changed - sorry this deal was under the wrong broker,,1,1,1
429,I hear your deal blew up. What happened? ckm,,What if your deal blew up? What if your deal blew up? What if your deal blew up? What if your deal blew up? What if your deal blew up? What if your deal blew up? What,,0,0,0
435,580280 - Jeff had this in with Bloomberg. I changed it to Natsource. Kate Kerri Thompson@ENRON 04/12/2001 01:56 PM,,here - Jeff had this in with Bloomberg and I changed it to Natsource - Kate Kerri Thompson ALENRON 04/12/2001 01:56,,1,1,1
441,No. Sounds right. -------------------------- Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net),,Sounds like a -------------------------- +++ from my BlackBerry Wireless Handheld,,0,0,0
447,We have received the executed EEI Master Power Purchase and Sale Agreement dated 4/25/01 from the referenced counterparty. Copies will be distributed to legal and credit.,,Yes we have received EEI Master Power Purchase and Sale Agreement dated dated 15 and after..................Copies will be be distributed t Legal & credit,,1,1,1
453,"Sounds good to me. We really need to get this amendment signed today. Please do what you can to expedite. Thanks, Kay",,"good to me. We really need to get this amendment signed today. Please do what you can to expedite. Thanks,",,1,0,0
459,when?,,When?,,1,1,1
465,"Gerald since you handled this last year, I am forwarding this to you to determine from Michelle cash [head of recruiting] to see if we are planning to participate...I cannot imagine that we are not.... thanks bng",,", I am forwarding this to you, I am forwarding this to you, thanks Gerald. I am forwarding this to you, thanks Gerald. Thanks Gerald. I am forwarding this to you. Thanks Gerald. Thanks Gerald. Thanks Gerald. Thanks Gerald. Thanks",,0,0,0
471,Thanks. I appreiciate it.,,I appreiciate u,,0,1,0
477,516651 - Tom told me he had already put it in; then Mike just brought the same deal to me to put in - sorry about that! Evelyn Metoyer@ENRON 02/07/2001 03:09 PM,,Tom said with me I already put it in. Mike Abel called and added the same deal for you.,,0,0,0
483,"Gerald since you handled this last year, I am forwarding this to you to determine from Michelle cash [head of recruiting] to see if we are planning to participate...I cannot imagine that we are not.... thanks bng",,i am forwarding this up later-me see if we are going to participate in this? can't imagine we are- thanks Gerald,,0,1,1
489,FYI,,FYI,,1,1,1
495,"John, Would you confirm (via a new email that I can print for my files) you have had the conversations with Dan Bruce, etc. about Entelligence that I scripted for you in a prior email? Thanks a lot. Michelle",,"have had the conversations with Dan Bruce? Thanks a lot, would you confirm that you've had the conversations with Dan Bruce, and that you've written me about it?? you've had? Dan Bruce?. Dan Bruce?",,1,0,0
501,Please disregard the previous email. Have a great day!! Zakiyyah xt 58146,,Ignard that email... have a good day zakiyyah,,1,0,0
507,fyi Marg,,,,0,0,0
513,please add a box of packaged peanuts thanks,,Please have me complete box of peanuts,,0,0,0
519,"Just a reminder to send me a currency report. Thanx, Chris",,"a reminder to send me a currency report. Thanx,",,1,1,0
525,FYI,,mons,,0,0,0
531,This is an issue we need to stay on top of. Felicia: could you please put= =20 some background together for everyone on the list?,,FYI on this one,,0,1,1
537,here is the order responding on DASR cutoffs.,,. This is the order that is responding to the cutoffs.... This is the order that is responding to the cutoffs.. the cutoffs.. order that is responding to the cutoffs...,,0,0,0
543,"Gene, What is the status of the ProNexxus situation? Have we received anything from them? If not, they are very shortsighted! Michelle",,Hey Sue What's the status regarding ProNexex?? have we gotten anything back from them?,,0,1,1
549,no,,,,0,0,0
555,"Hi Bob, I believe I gave on October 24, so I'll go again around Christmas. I'm glad that you've gotten some good news, and here's hoping for a much better 2001! Kay",,"Bob,I know I gave on October 24, so I might go again around Christmas timeI'm glad that you've gotten some good news, actually here's hoping for a much better",,1,0,0
561,Attached is the spreadsheet requested that consolidates common findings in London across commodities. Let me know if you have any questions or comments.,,just let me know if you have any comments/ questions!,,0,1,1
567,fyi,,BT,,0,0,0
573,It wouldn't be the same without you!,,"the same. It wouldn't be the same. you, it wouldn't be the same. without you, it wouldn't be the same. the same. the same..... without you. Without you,",,0,0,0
579,These are done. Have a good weekend! Kate Lester Rawson 04/13/2001 02:57 PM,,are done. Have a GREAT weekend!!!!! — Jeff Rawson 04/13/2001 02:57,,1,0,0
585,fyi Marg,,"s call 888-353-1299 Marg, let's call Marg, let's call 888-353-1299 888-353-1299 888-353-1299 888-353-1299 888-353-1299 888-353-12",,0,0,0
591,FYI,,,,0,0,0
597,"Gentlemen, This is now back to being the CA Development I and II deal. Please change the name. Please send it to me and Lee Johnson tomorrow, if possible. Kay",,Hey @Chris..... PLEASE revert its names again : CA Development! I & II working and no changes here.... Please communicate to ME & Lee Johnson tomorrow......,,0,0,0
603,Michelle Cash Assistant General Counsel Enron Wholesale Services Legal Department 713-853-6401 Ass't: Twanda Sweet -- 713-853-9402,,... Twanda Sweet is assistant general counsel at Enron Wholesale Services Legal Department. Twanda Sweet is an associate general counsel at Enron Wholesale Services Legal Department. Twanda Sweet is. at Enron Wholesale Services,,0,0,0
609,Thanks! Tanya Rohauer 06/29/99 09:12 AM,,"!: the person who said ""Thanks!"": the person who said ""Thanks!"": the person who said ""Thanks!"": the person who said ""Thanks!"": the person who said ""Thanks!"": the person who said ""Thanks!"": the person",,0,0,0
615,Matt Dawson in London was inquiring about this agreement. He'll want to know when we are finished because he has a London paper trader nagging him. SS,,Matt I've got a London paper trader nagging me about this agreement...,,1,1,1
621,when?,,When,,1,1,1
627,done Evelyn Metoyer@ENRON 03/28/2001 12:53 PM,,Evelyn Metoyer@ENRON 03/28/2001 12:53,,0,1,1
633,Per my voice mail,,Per my voice mail.,,1,1,1
639,User iD: enronden PW: bnaweb22,,iD: enronden.: enronden.. iD: enronden. a user iD: enronden. a user iD: iD:,,0,0,0
645,are we going to work out with Dean tomarrow?,,Is Dean going to work with us? Paul,,1,1,1
651,Shall we buy this? Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,we buy this guy Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415),,0,1,1
657,FYI,,That's correct. That's correct. That's correct. That's correct. That's correct. That's correct. That's correct.,,0,0,0
663,Looks like the SPPs/SERCs are fine. I don't have additional comments.,,like the SPPs/SERCs are fine... I don't see any,,1,0,0
669,what's happening? I am bored.,,what's happening. I'm not interested in what's happening. I'm not interested. I'm not interested. I'm not interested. I'm not interested. I'm not interested.....,,0,0,0
675,Please send the form consulting agreement to Randy. Thanks. MHC,,please send Randy the purchase form consulting agreement!!,,0,1,1
681,fyi,,a topic but it is a thing. It is a thing. It is a thing. It is a thing. It is a thing. It is a thing. It is a thing. It is a thing. It is,,0,0,0
687,REMINDER - INFO SESSION TODAY AT 11:30 AM in MT HOOD.,,.. The information session will be at 11:30 AM in Mt Hood. A information session will be held today at 11:30 AM in Mt Hood. The information session will be today at 11:30 AM in Mt Hood... Mt Hood,,0,0,0
693,It's about your benefits and crap like that...You have to fill out all of these forms and stuff. Did you get a packet of stuff to fill out?,,Did you get a packet of forms to fill out? Did you get a packet of forms to fill out? Did you get a packet of forms to fill out? Did you get a packet of forms to fill out? Did you get a packet of,,0,0,0
699,"We will need to update this ISDA on our new, revised, fantastic format!!! I'll have to find out who to send it to. SS",,"REALLY need to update this IS, on our new, revised, fantastic website!!! I'll have to find out who to send it",,0,1,0
705,We have received the executed EEI Master Power Purchase and Sale Agreement dated 2/1/2001 from the referenced CP. Copies will be distributed to Legal and Credit.,,have received the executed EEI Master Power Purchase and Sale Agreement dated 2/1/2001 from the referenced CP. Copies will be distributed to Legal and,,1,0,0
711,(per Tim Brown 202-789-7200),,Tim Brown,,0,0,0
717,i'll conference you in. we don't have a call-in number. what number should i call?,,We do not currently have a call-in number. What number should I call?,,1,1,1
723,fyi (I've asked Sheila to add your name to the list). Sara,,add your name to the list. I've asked her to add your name to the list.. I've asked her to add your name to the list.ve asked her to add your name to the list.. added your name.ve asked her,,0,0,0
729,"The Friday September 1, 2000 ENA Management Committee Meeting has been cancelled. Rob Milnthorp 08/15/2000 04:03 PM",,"ENA Management Meeting.. The ENA Management Meeting will be held on September 2, 2000. ENA Management Meeting has been canceled.NA Management Meeting has been canceled.. ENA. ENA Management Meeting. ENA Management Meeting.",,0,0,0
735,Please disregard the previous email. Have a great day!! Zakiyyah xt 58146,,"Zakiyyah. I am sorry for the delay. Thank you. I am not a spammer. I am not a spammer........ Have a great day, Zakiy",,0,0,0
741,"We will need to update this ISDA on our new, revised, fantastic format!!! I'll have to find out who to send it to. SS",,"we will need to update THIS ISDA on our format...send In.,",,1,0,0
747,just faxed it to you...please let me know if don't receive it. lisa,,Please notify me if you do not receive it. Thanks,,1,1,1
753,I wish...that would be my dream job!,,"I wish I might that had a job really!""",,0,0,0
759,"Susan: Based on Tanya's message, we should pursue the Morgan Cap Services agreement. Let's talk when you have a chance. I've put this on our legal.credit list. SS",,I've got this on our legal.Credit list - Lets talk after you get a chance...Morgan Cap Services agreement,,0,0,0
765,when?,,,,0,0,0
771,"Revised draft. Da Bulls toner is low, so the draft doesn't look good, and I don't know where the others print. Guess I could just listen for it...",,"draft: Da Bulls ticker is low, so the draft doesn't look good, and I don't know where the others print... Guess I could just listen for it",,0,1,1
777,"Gracie, Can I still cancel the class. I am sorry but I can't make it. thanks, MOnika Causholli",,t make it. I'm sorry but I can't make the class. I'm sorry but I can't make the class. I'm sorry. I'm sorry.,,0,0,0
783,"In case I forget to mention it, when the next round of Panda docs are ready, you might want to send them to Herman and Matt. Thanks, Kay",,when you want to send the next round of panda docs for Herman and Matt,,0,0,0
789,I have received the correct version of Jeff's contract. See me when you have a minute so that I can swap out pages. Thanks! Amy,,m afraid I'm sorry for the delay. I'm sorry for the delay. I'm sorry for the delay. I'm sorry for the delay. I'm sorry. I need to swap out pages. I need to swap out pages. Thanks,,0,0,0
795,I'll work on them over the weekend.,,. I have a few more to do.. I hope you enjoy them. Thanks for looking. I hope you enjoy them. Thanks for stopping by. Thanks for stopping by. Thanks for stopping by. Thanks for stopping by. Thanks for stopping by. Thanks for stopping by.,,0,0,0
801,I wish...that would be my dream job!,,"that's what I wish!! That would be my dream job, that's what I wish! That would be my dream job, that's what I wish!! That would be my dream job!!!! that",,0,0,0
807,Lets at least get the Florida ones done. Any idea why she didn't go?,,. I'm not sure why she didn't go. I'm not sure why she didn't go.. I'm sorry. I'm going to try to get the Florida ones done. I'm sorry. I'm sorry. I,,0,0,0
813,Please see below and let me know your thoughts on the GTC/confirmation question? Thanks Carlos,,"TC/confirmation question. Carlos, please see below and tell me your thoughts.. Carlos, please see below and tell me your thoughts. Carlos, please see below and tell me your thoughts. Carlos, please see below and tell me. Carlos, please see below. Carlos",,0,0,0
819,"Kinda of like a Mary in a Bathtub, only different. ckm Heather Kroll@ECT 10/31/2000 03:55 PM",,"of like a Mary in a Bathtub, only different. ckmackenroll@gmail 10/31/2000 03:55",,1,0,0
825,"FYI, if you didn't get this already. Michelle",,In case you didn't get this already.,,1,1,1
831,- cj_4903.jpg,,cj_4903.,,1,1,1
837,Why is the Analyst / Associate program excluded from the referral incentive program? Chris,,refrefral incentive program - no an analyst/associate,,0,0,0
843,One of us can. Fred Mitro@ECT 02/15/2001 04:47 PM,,and that is. He can't. The one who can is Fred Mitro. Fred Mitro. Fred Mitro. Fred Mitro. Fred Mitro. Fred Mitro. Fred Mitro. Fred Mitro. Fred Mitr,,0,0,0
849,"FYI. Most recent versions. Matt, sorry I missed you call. Roger, does signing the letter agreement cause any balance sheet problems? We anticipate closing a few days later. Kay",,. I'm sorry I missed your call. We are closing on Friday. Thanks. Thanks. Thanks for the call. Sorry for the delay... I missed your call. We anticipate closing on Friday.....,,0,0,0
855,20,,20,,1,1,1
861,"Per Rita, moved from Fri (3/23) to Mon (3/26)",,,,0,0,0
867,"Is the October 13, rev 3 the final version? Kay Rusty Stevens 11/01/2000 12:26 PM",,or is it the final version? Is the October 13 version the final version? Is the October 13 version the final version? Is the October 13 version the final version? Is the October 13 version final? Is the October 13 version the final version?,,0,0,0
873,"Kinda of like a Mary in a Bathtub, only different. ckm Heather Kroll@ECT 10/31/2000 03:55 PM",,". It's like a Mary in a Bathtub, only different.... It's like a Mary in a Bathtub, only different..... Mary.....",,1,0,0
879,User ID: enrondlr PW: bnaweb22,,.. The person with the User ID is enrondlr.rondlr. The person with the User ID is enrondlr....... The person ID is,,0,0,0
885,--------- Inline attachment follows ---------,,--------- Inline attachment follows ---------,,1,1,1
891,Attached is a new credit worksheet for Capex. SS,,Here's the new credit spreadsheet for Capex!!!,,1,1,1
897,Lavo is going to bring it in for me. I bought QQQ today at 93. Traded 102 in afterhours trading on the island. Enron is free. Chris,,is going to bring it in for me. I bought QQQ today at 93. Traded 102 in afterhours trading on the island. Enron is free.,,0,0,0
903,"Please take note of below. Add to list, assign to Viverito. Note it as only a payment netting agreement. Thanks.",,. Attach Viverito as a payment netting agreement... Attach Viverito as a payment netting agreement.... Attach Viverito as a payment netting agreement...,,0,0,0
909,Joanne: I'll hand you the revision to the template below (ignore the second attachment). Sara,,I'll hand you the link to the video below (ignore the second attachment),,0,1,1
915,"Spreadsheet has been updated and sent to Neil Bresnan, Daniel Kang, and Jubran Whalan at EES. Thanks for your help on this. Kate Mark Confer 03/05/2001 09:03 AM",,.. Thanks to all who helped with the spreadsheet. Thanks to all who helped with the spreadsheet. Thanks to all who helped with the spreadsheet. Thanks to all who helped with the spreadsheet. Thanks to all who helped. Thanks to all who helped. Thanks to all who helped. Thanks,,0,0,0
921,do we need bus cards,,do we need to have bus cards? Do we need to have bus cards? Do we need to have bus cards? Do we need to have bus cards?,,1,0,0
927,That will help. Ben F Jacoby@ECT 03/23/2001 12:21 PM Sent by: Ben Jacoby@ECT,,said that will help.... Ben F Jacoby@ECT said that will help....... Ben F Jacoby@ECT said that will help. Ben F Jacoby@ECT said that will help.,,1,0,0
933,would you please handle? Thanks. Michelle,,you let me take care of it? Would you let me take care of it? you let me take care of it? Would you let me take care of it? Would you let me take care of it? Would you let me take care of it? Would you let,,1,0,0
939,"Hi Brett, I haven't seen the fax yet. I'll check around. Maybe it got stuck in the wrong pile. Kay Brett R Wiggs 01/03/2001 04:29 AM",,What is your fax #? I'll check around,,0,1,1
945,Sue Mara Enron Corp. Tel: (415) 782-7802 Fax:(415) 782-7854,,Mara Enron loans. Tel: (415) 782-7802 Fax (415),,0,1,1
951,"Here are the approvals for 11/01/00 Regards, bd",,. There are approvals for 11/01/00. There are approvals for 11/01/00. There are approvals for 11/01/00. There are approvals for 11/01/00. There are approvals for 11/01/00.. There are approvals for 11/01/00.,,0,0,0
957,User iD: enronden PW: bnaweb22,,LRM,,0,0,0
963,"Kinda of like a Mary in a Bathtub, only different. ckm Heather Kroll@ECT 10/31/2000 03:55 PM",,This is the Mary in a Bathtub thing except different.,,1,1,1
969,Lets at least get the Florida ones done. Any idea why she didn't go?,,i don't know why she didn't go but we'll try to get the Florida ones done.,,1,1,1
975,FYI,,FYI,,1,1,1
981,- PJM.xls,,,,0,0,0
987,"In order to keep today's polling presenation brief, I am sending everyone a copy of the Executive Summary which Public Opinion Strategies is likely to spend the majority of time discussing. Call if you have questions. Thanks",,Posted in case you'd got questions Public Opinion Strategies Executive Summary,,0,1,1
993,"In order to keep today's polling presenation brief, I am sending everyone a copy of the Executive Summary which Public Opinion Strategies is likely to spend the majority of time discussing. Call if you have questions. Thanks",,"order to keep today's polling presenation brief, I am sending everyone a copy of the Executive Summary which Public Opinion Strategies is likely to spend the majority of time discussing. Call if you have questions.",,1,0,0
999,"The CMS/CRS Ops Cmte Mtg scheduled for Friday, 10/19 has been cancelled. We will resume these meetings in approximately 2 weeks. Thanks.",,"CMS/CRS Ops Cmte Mtg scheduled for Friday, 10/19 has been cancelled. We will resume these meetings in approximately 2 weeks.",,1,1,0
1005,fyi. I haven't checked yet.,,"t looked yet, I don't know. I haven't looked yet, I don't know.. I haven't looked yet, I don't know..t looked yet. I haven't looked yet.",,0,0,0
1011,I think it would be best to get those terms in this agreement.,,to get those terms in this agreement... I think it would be best to get those terms in this agreement. I think. terms in this agreement. terms in this agreement. to get those terms in this agreement....,,0,0,0
1017,"The room is 3AC5C1, according to this email. I didn't check to see what it was before.",,"room is 3AC5C1, according to this email. I didn't check to see what it was",,1,1,0
1023,must be for real,,Forreal,,0,1,0
1029,"Gracie, Can I still cancel the class. I am sorry but I can't make it. thanks, MOnika Causholli",,Can I still take the class?? I am sorry but I can't make it!!! thanks?? MOnika,,0,1,0
1035,fyi,,,,0,0,0
